Time	1 Sensor 1	2 Sensor 2	3 Sensor 3	4 Sensor 4	5 Sensor 5	6 Sensor 6	7 Sensor 7	8 MDI_P_5V_ASIC_PG	9 RELAY_HS_FAULT	10 MAI_RELAY_DRV_2_DIAG	11 MDI_P_7V_ASIC_PG	12 RESET_N	13 ASIC_A_INT	14 ASIC_B_INT	15 ASIC_C_INT	16 MDI_P_7V_ASIC_PG
time:2021-05-10 14:49:51.960604 [0.0015	0.0015	0.4095	0.4422	0.4394	0.4246	0.4248	0.0492	0.0053	0.0011	0.0041	0.0153	0.0169	0.0195	0.0387	0.0161	
time:2021-05-10 14:49:55.928144 [0.0012	0.0011	0.4022	0.4352	0.4322	0.4176	0.4178	0.0529	0.0276	0.0181	0.0086	0.0021	0	0.0064	0.0193	0.0205	
time:2021-05-10 14:49:59.888799 [0.001	0.0009	0.3967	0.4297	0.4268	0.412	0.4124	0.0218	0.0183	0.0185	0.0262	0.0167	0.0066	0.0006	-0.0041	0.011	
time:2021-05-10 14:50:03.852543 [0.0008	0.0008	0.3924	0.4253	0.4225	0.4077	0.4081	0.011	0.0031	0.0125	0.018	0.0196	0.0265	0.0192	0.0061	-0.0003	
time:2021-05-10 14:50:07.815477 [0.0007	0.0007	0.3887	0.4217	0.4188	0.4042	0.4044	0.0512	0.006	0.0016	0.0036	0.013	0.0179	0.022	0.0353	0.014	
time:2021-05-10 14:50:11.782408 [0.0006	0.0006	0.3857	0.4187	0.4158	0.4013	0.4015	0.0749	0.0277	0.0123	0.0049	0.0013	0.0028	0.0119	0.022	0.0247	
time:2021-05-10 14:50:15.739983 [0.0006	0.0005	0.3829	0.4161	0.4131	0.3986	0.3988	0.0475	0.0257	0.0195	0.0083	0.0026	0.0021	0.0098	0.0123	0.024	
time:2021-05-10 14:50:19.702642 [0.0005	0.0005	0.3805	0.4135	0.4107	0.396	0.3964	0.0324	0.0191	0.022	0.0165	0.0065	0.002	0.002	0.004	0.0226	
																
time:2021-05-10 14:50:26.842347 [5.0004	4.9981	4.9263	4.9254	4.9258	4.925	4.9248	0.804	-0.0532	0.1199	0.0196	-0.0002	0.0085	-0.1199	0.0143	0.3622	
time:2021-05-10 14:50:30.800755 [5.0006	4.9983	4.9265	4.9256	4.9259	4.925	4.9249	0.8153	-0.0891	0.1012	0.014	0.0047	0.0193	-0.0906	0.015	0.3505	
time:2021-05-10 14:50:34.761129 [5.0006	4.9983	4.9264	4.9256	4.9259	4.925	4.9249	0.8182	-0.0823	0.0915	0.0141	0.0037	0.0185	-0.0941	0.0179	0.3452	
time:2021-05-10 14:50:38.719277 [5.0006	4.9985	4.9266	4.9256	4.926	4.9252	4.9249	0.7484	-0.1153	0.0702	0.0177	0.012	0.021	-0.0752	0.0208	0.3109	
time:2021-05-10 14:50:42.678787 [5.0008	4.9984	4.9265	4.9256	4.9261	4.9252	4.9251	0.8118	-0.1069	0.076	0.017	0.0109	0.0212	-0.0767	0.0252	0.3107	
time:2021-05-10 14:50:46.641043 [5.0007	4.9984	4.9266	4.9256	4.926	4.9251	4.925	0.792	-0.0618	0.1048	0.0167	0.0004	0.0095	-0.1122	0.0192	0.3577	
time:2021-05-10 14:50:50.598768 [5.0006	4.9984	4.9266	4.9257	4.926	4.9252	4.925	0.8311	-0.0793	0.0931	0.0142	0.0038	0.0182	-0.0932	0.0154	0.3513	
time:2021-05-10 14:50:54.556813 [5.0007	4.9985	4.9266	4.9257	4.926	4.9252	4.9251	0.7858	-0.0987	0.08	0.0138	0.0087	0.0201	-0.0808	0.0207	0.3316	
time:2021-05-10 14:50:58.149415 [5.0007	4.9985	4.9266	4.9257	4.9261	4.9252	4.9251	0.7454									
time:2021-05-10 14:51:02.021873 [5.0008	4.9985	4.9266	4.9257	4.9261	4.9252	4.9251	0.8194	-0.2588	0.3076	0.0173	-0.0007	0.0072				
time:2021-05-10 14:51:05.978413 [5.0008	4.9985	4.9266	4.9257	4.9261	4.9252	4.925	0.8216	-0.2466	0.3143	0.0201	0.001	0.0082	-0.288	0.0235	0.3558	
time:2021-05-10 14:51:09.938475 [5.0008	4.9984	4.9266	4.9258	4.926	4.9253	4.9251	0.7781	-0.2446	0.3334	0.0287	0.0021	0.0034	-0.3139	0.0075	0.3529	
